City,Month,Day,Year,AvgTemperature
Brisbane,12,21,1995,74.1
Brisbane,12,22,1995,73.4
Brisbane,12,23,1995,68.4
Brisbane,12,24,1995,69.8
Brisbane,12,25,1995,69.7
Brisbane,12,26,1995,70.6
Brisbane,12,27,1995,74.1
Brisbane,12,28,1995,72.8
Brisbane,12,29,1995,76.3
Brisbane,12,30,1995,76.9
Brisbane,12,31,1995,77.5
Brisbane,1,1,1996,77.7
Brisbane,1,2,1996,78.6
Brisbane,1,3,1996,72.8
Brisbane,1,4,1996,71
Brisbane,1,5,1996,74.2
Brisbane,1,6,1996,75.3
Brisbane,1,7,1996,77
Brisbane,1,8,1996,75.4
Brisbane,1,9,1996,73
Brisbane,1,10,1996,77.5
Brisbane,1,11,1996,76.6
Brisbane,1,12,1996,76.2
Brisbane,1,13,1996,74.7
Brisbane,1,14,1996,74.7
Brisbane,1,15,1996,74.9
Brisbane,1,16,1996,75.1
Brisbane,1,17,1996,75.1
Brisbane,1,18,1996,76.8
Brisbane,1,19,1996,76.5
Brisbane,1,20,1996,78
Brisbane,1,21,1996,79.6
Brisbane,1,22,1996,78.6
Brisbane,1,23,1996,75.9
Brisbane,1,24,1996,71.3
Brisbane,1,25,1996,79.6
Brisbane,1,26,1996,78.5
Brisbane,1,27,1996,80.2
Brisbane,1,28,1996,80.5
Brisbane,1,29,1996,80.6
Brisbane,1,30,1996,82.6
Brisbane,1,31,1996,84.4
Brisbane,2,1,1996,83.8
Brisbane,2,2,1996,80.7
Brisbane,2,3,1996,78.8
Brisbane,2,4,1996,80.3
Brisbane,2,5,1996,79
Brisbane,2,6,1996,80.2
Brisbane,2,7,1996,81.4
Brisbane,2,8,1996,82.1
Brisbane,2,9,1996,74.6
Brisbane,2,10,1996,71.6
Brisbane,2,11,1996,72.2
Brisbane,2,12,1996,73.4
Brisbane,2,13,1996,68.1
Brisbane,2,14,1996,69.6
Brisbane,2,15,1996,71.6
Brisbane,2,16,1996,69.4
Brisbane,2,17,1996,74.9
Brisbane,2,18,1996,75
Brisbane,2,19,1996,76.9
Brisbane,2,20,1996,77.2
Brisbane,2,21,1996,73
Brisbane,2,22,1996,72.5
Brisbane,2,23,1996,71.5
Brisbane,2,24,1996,71.5
Brisbane,2,25,1996,73.3
Brisbane,2,26,1996,71.3
